paper_id,title,doi,year,journal,journal_if,reaction_type,first_author,search_relevance,evidence_type_candidate,pathway_hint,metadata_source,inclusion_status,manual_checked,notes
ETOH_001,"Electrocatalytic reduction of CO2 to ethylene and ethanol through hydrogen-assisted C-C coupling over fluorine-modified copper",10.1038/s41929-020-0450-0,2020,Nature Catalysis,44.6,CO2RR,Yu,high,"experiment; DFT","hydrogen-assisted C-C coupling; ethanol/ethylene branch candidate",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_002,"Comprehensive Mechanism of CO2 Electroreduction toward Ethylene and Ethanol: The Solvent Effect from Explicit Water-Cu(100) Interface Models",10.1021/acscatal.1c01486,2021,ACS Catalysis,13.1,CO2RR,Goodpaster,high,DFT,"comprehensive mechanism; solvent effect; ethanol/ethylene pathways",OpenAlex; DOI metadata,included,no,"Mechanism-focused paper"
ETOH_003,"Investigating Why Sulfurization Can Greatly Improve Ethanol Selectivity for Carbon Dioxide Electroreduction",10.31635/ccschem.021.202101557,2021,CCS Chemistry,11.2,CO2RR,unknown,medium,"experiment; DFT","sulfurization-enhanced ethanol selectivity; pathway candidate",OpenAlex; DOI metadata,included,no,"Need author and abstract verification"
ETOH_004,"Morphology and mechanism of highly selective Cu(II) oxide nanosheet catalysts for carbon dioxide electroreduction",10.1038/s41467-021-20961-7,2021,Nature Communications,15.7,CO2RR,Mistry,medium,"operando; experiment","mechanism of Cu oxide-derived catalysts; C2+ oxygenates candidate",OpenAlex; DOI metadata,included,no,"Keep because title/abstract mention mechanism and oxygenates; verify ethanol specificity"
ETOH_005,"Complementary Operando Spectroscopy identification of in-situ generated metastable charge-asymmetry Cu2-CuN3 clusters for CO2 reduction to ethanol",10.1038/s41467-022-29035-8,2022,Nature Communications,15.7,CO2RR,unknown,high,"operando spectroscopy","metastable Cu2-CuN3 clusters; ethanol selectivity",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_006,"Boosting electrocatalytic CO2-to-ethanol production via asymmetric C-C coupling",10.1038/s41467-022-31427-9,2022,Nature Communications,15.7,CO2RR,unknown,high,"experiment; DFT","asymmetric C-C coupling",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_007,"Operando Constructing Cu/Cu2O Electrocatalysts for Efficient CO2 Electroreduction to Ethanol: CO2-Assisted Structural Evolution of Octahedral Cu2O by Operando CV Activation",10.1021/acscatal.2c03833,2022,ACS Catalysis,13.1,CO2RR,unknown,high,operando,"Cu/Cu2O structural evolution; ethanol pathway candidate",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_008,"Confined interface engineering of self-supported Cu@N-doped graphene for electrocatalytic CO2 reduction with enhanced selectivity towards ethanol",10.1007/s12274-022-4698-3,2022,Nano Research,10.9,CO2RR,unknown,medium,"experiment; DFT","confined interface; ethanol selectivity",OpenAlex; DOI metadata,included,no,"JIF close to threshold; verify with JCR"
ETOH_009,"A tin-based tandem electrocatalyst for CO2 reduction to ethanol with 80% selectivity",10.1038/s41560-023-01389-3,2023,Nature Energy,46.7,CO2RR,unknown,high,"experiment; DFT","tandem catalysis; ethanol selectivity; pathway candidate",OpenAlex; DOI metadata,included,no,"Priority full-text target"
ETOH_010,"Weak CO binding sites induced by Cu-Ag interfaces promote CO electroreduction to multi-carbon liquid products",10.1038/s41467-023-36411-5,2023,Nature Communications,15.7,CORR,unknown,high,"experiment; DFT","CO binding; liquid C2+ products; ethanol candidate",OpenAlex; DOI metadata,included,no,"Verify product distribution and ethanol pathway sentence"
