paper_id,doi,title,journal,year,pdf_file,status,pdf_url,bytes,reason
ETOH_001,10.1038/s41929-020-0450-0,Electrocatalytic reduction of CO2 to ethylene and ethanol through hydrogen-assisted C-C coupling over fluorine-modified copper,Nature Catalysis,2020,paper_pdf_folder/ETOH_001_10.1038_s41929-020-0450-0.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1038/s41929-020-0450-0?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1038%2Fs41929-020-0450-0?email=literature-search%40example.com
ETOH_002,10.1021/acscatal.1c01486,Comprehensive Mechanism of CO2 Electroreduction toward Ethylene and Ethanol: The Solvent Effect from Explicit Water-Cu(100) Interface Models,ACS Catalysis,2021,paper_pdf_folder/ETOH_002_10.1021_acscatal.1c01486.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.1c01486?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.1c01486?email=literature-search%40example.com
ETOH_003,10.31635/ccschem.021.202101557,Investigating Why Sulfurization Can Greatly Improve Ethanol Selectivity for Carbon Dioxide Electroreduction,CCS Chemistry,2021,paper_pdf_folder/ETOH_003_10.31635_ccschem.021.202101557.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.31635/ccschem.021.202101557?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.31635%2Fccschem.021.202101557?email=literature-search%40example.com
ETOH_004,10.1038/s41467-021-20961-7,Morphology and mechanism of highly selective Cu(II) oxide nanosheet catalysts for carbon dioxide electroreduction,Nature Communications,2021,paper_pdf_folder/ETOH_004_10.1038_s41467-021-20961-7.pdf,downloaded,https://www.nature.com/articles/s41467-021-20961-7.pdf,3853743,
ETOH_005,10.1038/s41467-022-29035-8,Complementary Operando Spectroscopy identification of in-situ generated metastable charge-asymmetry Cu2-CuN3 clusters for CO2 reduction to ethanol,Nature Communications,2022,paper_pdf_folder/ETOH_005_10.1038_s41467-022-29035-8.pdf,downloaded,https://www.nature.com/articles/s41467-022-29035-8.pdf,3964372,
ETOH_006,10.1038/s41467-022-31427-9,Boosting electrocatalytic CO2-to-ethanol production via asymmetric C-C coupling,Nature Communications,2022,paper_pdf_folder/ETOH_006_10.1038_s41467-022-31427-9.pdf,downloaded,https://www.nature.com/articles/s41467-022-31427-9.pdf,3192306,
ETOH_007,10.1021/acscatal.2c03833,Operando Constructing Cu/Cu2O Electrocatalysts for Efficient CO2 Electroreduction to Ethanol: CO2-Assisted Structural Evolution of Octahedral Cu2O by Operando CV Activation,ACS Catalysis,2022,paper_pdf_folder/ETOH_007_10.1021_acscatal.2c03833.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.2c03833?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.2c03833?email=literature-search%40example.com
ETOH_008,10.1007/s12274-022-4698-3,Confined interface engineering of self-supported Cu@N-doped graphene for electrocatalytic CO2 reduction with enhanced selectivity towards ethanol,Nano Research,2022,paper_pdf_folder/ETOH_008_10.1007_s12274-022-4698-3.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1007/s12274-022-4698-3?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1007%2Fs12274-022-4698-3?email=literature-search%40example.com
ETOH_009,10.1038/s41560-023-01389-3,A tin-based tandem electrocatalyst for CO2 reduction to ethanol with 80% selectivity,Nature Energy,2023,paper_pdf_folder/ETOH_009_10.1038_s41560-023-01389-3.pdf,downloaded_fallback,https://www.researchsquare.com/article/rs-1924605/latest.pdf,937700,
ETOH_010,10.1038/s41467-023-36411-5,Weak CO binding sites induced by Cu-Ag interfaces promote CO electroreduction to multi-carbon liquid products,Nature Communications,2023,paper_pdf_folder/ETOH_010_10.1038_s41467-023-36411-5.pdf,downloaded,https://www.nature.com/articles/s41467-023-36411-5.pdf,2192760,
ETOH_011,10.1038/s41467-023-39351-2,Tunable CO2 electroreduction to ethanol and ethylene with controllable interfacial wettability,Nature Communications,2023,paper_pdf_folder/ETOH_011_10.1038_s41467-023-39351-2.pdf,downloaded,https://www.nature.com/articles/s41467-023-39351-2.pdf,1780435,
ETOH_012,10.1038/s41467-023-36926-x,Accelerating electrochemical CO2 reduction to multi-carbon products via asymmetric intermediate binding force,Nature Communications,2023,paper_pdf_folder/ETOH_012_10.1038_s41467-023-36926-x.pdf,downloaded,https://www.nature.com/articles/s41467-023-36926-x.pdf,2657297,
ETOH_013,10.1021/acscatal.3c03797,Selectivity of Electrochemical CO2 Reduction toward Ethanol and Ethylene: The Key Role of Surface-Active Hydrogen,ACS Catalysis,2023,paper_pdf_folder/ETOH_013_10.1021_acscatal.3c03797.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021/acscatal.3c03797?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1021%2Facscatal.3c03797?email=literature-search%40example.com
ETOH_014,10.1021/acscatal.3c00190,Competition of CO and Acetaldehyde Adsorption and Reduction on Copper Electrodes and Its Impact on n-Propanol Formation,ACS Catalysis,2023,paper_pdf_folder/ETOH_014_10.1021_acscatal.3c00190.pdf,downloaded,https://scholarlypublications.universiteitleiden.nl/access/item%3A3590038/view,4713787,
ETOH_015,10.1016/j.cej.2023.147204,CuAg bimetallic catalysts derived from an Ag-anchored Cu-based metal-organic framework for CO2 electroreduction to ethanol,Chemical Engineering Journal,2023,paper_pdf_folder/ETOH_015_10.1016_j.cej.2023.147204.pdf,not_downloaded,,,no_open_pdf_url_in_openalex; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1016/j.cej.2023.147204?email=literature-search%40example.com; unpaywall_lookup=422 Client Error: Unprocessable Entity for url: https://api.unpaywall.org/v2/10.1016%2Fj.cej.2023.147204?email=literature-search%40example.com
